page,name,type,typeDetails,required,text,header,audio,branchOnValue,branchToPage
Welcome,welcome,page,,optional,assessWelcome.htm,,,Complex,
ImpCutAlc,ImpCutAlc,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How IMPORTANT  is it to you to stop or cut down your ALCOHOL use?</p>","<p class=""head1"">These questions ask about your feeling related to your ALCOHOL use. Please answer on the scale numbered 1 to 10 (1 being the lowest and 10 being the highest). </p>",,,
ConfCutAlc,ConfCutAlc,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How CONFIDENT are you that you can stop or cut down your ALCOHOL use?</p>",,,,
ReadyCutAlc,ReadyCutAlc,10 <br />I am ready to quit now | 9 | 8 <br />I have cut down or am seriously thinking about quitting | 7 | 6 <br />I  am thinking about cutting down| 5 | 4 <br />I think I should change my use but I&#8217;m not ready | 3 | 2<br />I think I need to consider changing my use someday | 1 | 0 <br />I am not ready to change my use,ladder,warning,"<p class=""head1""><b>For this question, please select the number that best fits how you feel currently about your ALCOHOL use, with 10 being ""ready to quit now"" and 0 being ""not ready to change"".</b></p>",,,Complex,
ImpCutTob,ImpCutTob,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How IMPORTANT is it to you to stop or cut down your TOBACCO use?</p>","<p class=""head1"">These questions ask about your feeling related to your TOBACCO use. Please answer on the scale numbered 1 to 10 (1 being the lowest and 10 .<br/><br/>1 being the lowest and 10 being the highest </p>",,,
ConfCutTob,ConfCutTob,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How CONFIDENT are you that you can stop or cut down your TOBACCO use?</p>",,,,
ReadyCutTob,ReadyCutTob,10 <br />I am ready to quit now | 9 | 8 <br />I have cut down or am seriously thinking about quitting | 7 | 6 <br />I  am thinking about cutting down| 5 | 4 <br />I think I should change my use but I&#8217;m not ready | 3 | 2<br />I think I need to consider changing my use someday | 1 | 0 <br />I am not ready to change my use,ladder,warning,"<p class=""head1""><b>For this question, please select the number that best fits how you feel currently about your TOBACCO use, with 10 being ""ready to quit now"" and 0 being ""not ready to change"".</b></p>",,,Complex,
ImpCutMj,ImpCutMj,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How IMPORTANT is it to you to stop or cut down your MARIJUANA use?</p>","<p class=""head1"">These questions ask about your feeling related to your MARIJUANA  use. Please answer on the scale numbered 1 to 10 (1 being the lowest and 10 ",,,
ConfCutMj,ConfCutMj,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How CONFIDENT are you that you can stop or cut down your MARIJUANA use?</p>",,,,
ReadyCutMj,ReadyCutMj,10 <br />I am ready to quit now | 9 | 8 <br />I have cut down or am seriously thinking about quitting | 7 | 6 <br />I  am thinking about cutting down| 5 | 4 <br />I think I should change my use but I&#8217;m not ready | 3 | 2<br />I think I need to consider changing my use someday | 1 | 0 <br />I am not ready to change my use,ladder,warning,"<p class=""head1""><b>For this question, please select the number that best fits how you feel currently about your MARIJUANA use, with 10 being ""ready to quit now"" and 0 being ""not ready to change"".</b></p>",,,Complex,
