page,name,type,typeDetails,required,text,header,audio,branchOnValue,branchToPage
AlcEverYN,AlcEverYN,Yes | No,,warning,"Not including sips from another person's drink, have you EVER, in your whole life, even once, had a drink of ALCOHOL?","<p class=""head2"">These questions ask about use of alcohol such as beer, wine, wine coolers, or hard liquors like vodka, gin, or whiskey. Each can or bottle of beer, glass of wine, shot of liquor, or mixed drink with liquor in it counts as one drink.</p>",,No,CigEverYN
AlcEverTimes,AlcEverTimes,1 to 2 times | 3 to 9 times | 10 to 19 times | 20 to 39 times | 40 to 99 times |100 or more times,responses6 horizontal,warning,"During your LIFETIME, how many times have you used ALCOHOL?","<p class=""head2"">These questions ask about use of alcohol such as beer, wine, wine coolers, or hard liquors like vodka, gin, or whiskey. Each can or bottle of beer, glass of wine, shot of liquor, or mixed drink with liquor in it counts as one drink.</p>",,,
AlcFirstUseAge,AlcFirstUseAge, Less than 5 years old | 5 years old | 6 years old | 7 years old | 8 years old | 9 years old | 10 years old | 11 years old | 12 years old | 13 years old | 14 years old | 15 years old | 16 years old | 17 years old | 18 years old | 19 years old | 20 years old | 21 years old ,vertical,warning,How old were you the FIRST time you had a drink of ALCOHOL?,"<p class=""head2"">These questions ask about use of alcohol such as beer, wine, wine coolers, or hard liquors like vodka, gin, or whiskey. Each can or bottle of beer, glass of wine, shot of liquor, or mixed drink with liquor in it counts as one drink.</p>",,,
AlcFirstDrunkAge,AlcFirstDrunkAge, Less than 5 years old | 5 years old | 6 years old | 7 years old | 8 years old | 9 years old | 10 years old | 11 years old | 12 years old | 13 years old | 14 years old | 15 years old | 16 years old | 17 years old | 18 years old | 19 years old | 20 years old | 21 years old |never,vertical,warning,"How old were you the FIRST time you got DRUNK- that is, your speech was slurred or you were unsteady on your feet?","<p class=""head2"">These questions ask about use of alcohol such as beer, wine, wine coolers, or hard liquors like vodka, gin, or whiskey. Each can or bottle of beer, glass of wine, shot of liquor, or mixed drink with liquor in it counts as one drink.</p>",,,
AlcYrDays,AlcYrDays,numpad,,warning,"During the PAST 12 MONTHS, on how many days did you drink more than a few sips of beer, wine, or any drink containing ALCOHOL?",,,Complex,
AlcYrSixDays,AlcYrSixDays,Yes | No,,warning,"During the PAST 12 MONTHS, was there ever a month when you drank on at least six days?",,,,
CigEverYN,CigEverYN,Yes | No,,warning,"Have you EVER tried smoking CIGARETTES, even one or two puffs, or tried smoking TOBACCO in any other form? (This includes cigars, cigarillos, bidis, clove cigarettes, kreteks, blunts, pipe tobacco, or a hookah.)","<p class=""head2""> These questions ask about use of tobacco.</p>",,No,ChewEverYN
CigEverTimes,CigEverTimes,1 to 2 times | 3 to 9 times | 10 to 19 times | 20 to 39 times | 40 to 99 times |100 or more times,responses6 horizontal,warning,"During your LIFETIME, how many times have you used SMOKED TOBACCO?","<p class=""head2""> These questions ask about use of tobacco.</p>",,,
CigFirstUseAge,CigFirstUseAge, Less than 5 years old | 5 years old | 6 years old | 7 years old | 8 years old | 9 years old | 10 years old | 11 years old | 12 years old | 13 years old | 14 years old | 15 years old | 16 years old | 17 years old | 18 years old | 19 years old | 20 years old | 21 years old ,vertical,warning,How old were you the FIRST time you SMOKED TOBACCO?,"<p class=""head2""> These questions ask about use of tobacco.</p>",,,
CigYrDays,CigYrDays,numpad,,warning,"During the PAST 12 MONTHS, on how many days did you SMOKE any TOBACCO?",,,,
